time,open,high,low,close
979875900,1068.6899,1068.6899,1068.6899,1068.6899
980135100,1073.29,1073.29,1073.29,1073.29
980221500,1092.05,1092.05,1092.05,1092.05
980307900,1093.67,1093.67,1093.67,1093.67
980394300,1121.02,1121.02,1121.02,1121.02
980739900,1085.88,1085.88,1085.88,1085.88
980826300,1093.3,1093.3,1093.3,1093.3
980912700,1094.09,1094.09,1094.09,1094.09
980999100,1080.88,1080.88,1080.88,1080.88
981085500,1102.8101,1102.8101,1102.8101,1102.8101
981344700,1128.24,1128.24,1128.24,1128.24
981431100,1133.67,1133.67,1133.67,1133.67
981517500,1134.01,1134.01,1134.01,1134.01
981603900,1177.74,1177.74,1177.74,1177.74
981690300,1244.64,1244.64,1244.64,1244.64
981949500,1233.37,1233.37,1233.37,1233.37
982035900,1199.8101,1199.8101,1199.8101,1199.8101
982122300,1202.86,1202.86,1202.86,1202.86
982208700,1197.64,1197.64,1197.64,1197.64
982295100,1139.75,1139.75,1139.75,1139.75
982554300,1149.5601,1149.5601,1149.5601,1149.5601
982640700,1143.8199,1143.8199,1143.8199,1143.8199
982727100,1153.5601,1153.5601,1153.5601,1153.5601
982813500,1127.75,1127.75,1127.75,1127.75
982899900,1089.8101,1089.8101,1089.8101,1089.8101
983159100,1090.46,1090.46,1090.46,1090.46
983245500,1086.55,1086.55,1086.55,1086.55
983331900,1171.65,1171.65,1171.65,1171.65
983418300,1246.48,1246.48,1246.48,1246.48
983504700,1238.15,1238.15,1238.15,1238.15
983763900,1226.4301,1226.4301,1226.4301,1226.4301
983936700,1214.78,1214.78,1214.78,1214.78
984023100,1215.22,1215.22,1215.22,1215.22
984109500,1184.86,1184.86,1184.86,1184.86
984368700,1129.37,1129.37,1129.37,1129.37
984455100,1057.12,1057.12,1057.12,1057.12
984541500,1098.6899,1098.6899,1098.6899,1098.6899
984627900,1117.11,1117.11,1117.11,1117.11
984714300,1080.1899,1080.1899,1080.1899,1080.1899
984973500,1081.65,1081.65,1081.65,1081.65
985059900,1070.35,1070.35,1070.35,1070.35
985146300,1084.6899,1084.6899,1084.6899,1084.6899
985232700,1055.65,1055.65,1055.65,1055.65
985319100,1037.46,1037.46,1037.46,1037.46
985578300,1031.9,1031.9,1031.9,1031.9
985664700,1027.01,1027.01,1027.01,1027.01
985751100,1039.05,1039.05,1039.05,1039.05
985837500,1040.9,1040.9,1040.9,1040.9
985923900,991.51001,991.51001,991.51001,991.51001
986183100,960.27002,960.27002,960.27002,960.27002
986269500,970.45001,970.45001,970.45001,970.45001
986355900,970.06,970.06,970.06,970.06
986528700,968.42999,968.42999,968.42999,968.42999
986787900,974.95001,974.95001,974.95001,974.95001
986874300,964.02002,964.02002,964.02002,964.02002
986960700,977.64001,977.64001,977.64001,977.64001
987047100,963.34998,963.34998,963.34998,963.34998
987392700,985.96997,985.96997,985.96997,985.96997
987479100,1017.88,1017.88,1017.88,1017.88
987565500,1043.6899,1043.6899,1043.6899,1043.6899
987651900,1051.72,1051.72,1051.72,1051.72
987738300,1039.52,1039.52,1039.52,1039.52
987997500,1040.88,1040.88,1040.88,1040.88
988083900,1037.48,1037.48,1037.48,1037.48
988170300,1037.13,1037.13,1037.13,1037.13
988256700,1040.23,1040.23,1040.23,1040.23
988343100,996.95001,996.95001,996.95001,996.95001
988602300,992.76001,992.76001,992.76001,992.76001
988775100,1012.2,1012.2,1012.2,1012.2
988861500,1003.26,1003.26,1003.26,1003.26
988947900,1024.42,1024.42,1024.42,1024.42
989207100,1048.21,1048.21,1048.21,1048.21
989293500,1052.51,1052.51,1052.51,1052.51
989379900,1041.1899,1041.1899,1041.1899,1041.1899
989466300,1075.8101,1075.8101,1075.8101,1075.8101
989552700,1059.35,1059.35,1059.35,1059.35
989811900,1070.86,1070.86,1070.86,1070.86
